iter	Passed	Remaining
1064	8509	7470
1065	8517	7462
1066	8525	7454
1067	8532	7446
1068	8541	7439
1069	8548	7430
1070	8555	7421
1071	8562	7412
1072	8570	7404
1073	8577	7395
1074	8585	7387
1075	8592	7378
1076	8598	7368
1077	8606	7361
1078	8613	7352
1079	8619	7342
1080	8625	7333
1081	8632	7324
1082	8639	7315
1083	8646	7306
1084	8653	7297
1085	8660	7288
1086	8668	7280
1087	8674	7271
1088	8683	7263
1089	8689	7254
1090	8697	7246
1091	8707	7240
1092	8715	7232
1093	8723	7224
1094	8732	7217
1095	8742	7210
1096	8750	7202
1097	8758	7194
1098	8766	7187
1099	8773	7178
1100	8782	7170
1101	8789	7162
1102	8796	7153
1103	8805	7146
1104	8812	7137
1105	8821	7130
1106	8829	7122
1107	8836	7113
1108	8845	7106
1109	8857	7101
1110	8867	7095
1111	8874	7086
1112	8882	7079
1113	8890	7070
1114	8898	7062
1115	8905	7054
1116	8912	7045
1117	8921	7038
1118	8928	7029
1119	8936	7021
1120	8944	7013
1121	8951	7004
1122	8963	7000
1123	8971	6991
1124	8982	6986
1125	8991	6978
1126	9000	6971
1127	9007	6963
1128	9018	6957
1129	9026	6949
1130	9039	6945
1131	9047	6937
1132	9055	6929
1133	9062	6920
1134	9069	6911
1135	9078	6904
1136	9085	6895
1137	9091	6886
1138	9100	6879
1139	9107	6870
1140	9115	6862
1141	9122	6853
1142	9128	6844
1143	9135	6835
1144	9142	6827
1145	9149	6818
1146	9157	6809
1147	9164	6801
1148	9173	6793
1149	9180	6785
1150	9187	6776
1151	9195	6768
1152	9202	6760
1153	9210	6751
1154	9218	6744
1155	9225	6735
1156	9232	6726
1157	9239	6717
1158	9245	6708
1159	9253	6701
1160	9260	6692
1161	9266	6682
1162	9273	6674
1163	9280	6665
1164	9286	6656
1165	9295	6648
1166	9301	6639
1167	9308	6630
1168	9317	6623
1169	9324	6614
1170	9333	6607
1171	9340	6598
1172	9348	6590
1173	9357	6583
1174	9364	6575
1175	9377	6570
1176	9384	6561
1177	9393	6554
1178	9400	6545
1179	9406	6537
1180	9415	6529
1181	9422	6520
1182	9429	6511
1183	9435	6503
1184	9442	6494
1185	9451	6486
1186	9458	6478
1187	9465	6469
1188	9473	6461
1189	9480	6453
1190	9489	6446
1191	9496	6437
1192	9503	6428
1193	9510	6420
1194	9517	6411
1195	9524	6402
1196	9533	6395
1197	9541	6387
1198	9548	6378
1199	9555	6370
1200	9562	6361
1201	9570	6354
1202	9576	6344
1203	9583	6336
1204	9590	6327
1205	9597	6319
1206	9604	6310
1207	9611	6301
1208	9618	6292
1209	9625	6284
1210	9633	6276
1211	9640	6267
1212	9647	6259
1213	9654	6251
1214	9661	6242
1215	9670	6234
1216	9676	6225
1217	9683	6217
1218	9692	6209
1219	9698	6200
1220	9708	6193
1221	9715	6185
1222	9721	6176
1223	9729	6168
1224	9736	6159
1225	9743	6151
1226	9751	6143
1227	9758	6134
1228	9765	6126
1229	9772	6118
1230	9780	6109
1231	9786	6100
1232	9793	6092
1233	9799	6083
1234	9806	6074
1235	9813	6066
1236	9820	6057
1237	9829	6050
1238	9835	6041
1239	9842	6032
1240	9850	6024
1241	9857	6016
1242	9865	6008
1243	9872	5999
1244	9881	5992
1245	9888	5984
1246	9897	5976
1247	9908	5970
1248	9914	5961
1249	9922	5953
1250	9932	5946
1251	9940	5939
1252	9952	5933
1253	9959	5924
1254	9968	5917
1255	9977	5910
1256	9985	5902
1257	9992	5893
1258	10002	5886
1259	10011	5879
1260	10019	5871
1261	10033	5867
1262	10039	5858
1263	10047	5850
1264	10053	5841
1265	10060	5833
1266	10067	5824
1267	10074	5815
1268	10081	5807
1269	10089	5799
1270	10096	5790
1271	10103	5782
1272	10110	5774
1273	10117	5765
1274	10125	5757
1275	10133	5749
1276	10142	5742
1277	10148	5733
1278	10156	5725
1279	10164	5717
1280	10171	5709
1281	10179	5701
1282	10186	5692
1283	10193	5684
1284	10202	5676
1285	10210	5669
1286	10218	5661
1287	10226	5653
1288	10233	5644
1289	10240	5636
1290	10247	5627
1291	10254	5619
1292	10261	5610
1293	10268	5602
1294	10276	5594
1295	10284	5586
1296	10291	5578
1297	10297	5569
1298	10306	5561
1299	10313	5553
1300	10319	5544
1301	10326	5536
1302	10333	5527
1303	10342	5520
1304	10349	5511
1305	10358	5504
1306	10366	5496
1307	10373	5488
1308	10380	5479
1309	10387	5471
1310	10395	5463
1311	10402	5454
1312	10410	5447
1313	10418	5439
1314	10427	5432
1315	10436	5424
1316	10443	5416
1317	10451	5408
1318	10458	5399
1319	10466	5391
1320	10473	5383
1321	10480	5375
1322	10489	5367
1323	10496	5359
1324	10504	5351
1325	10512	5343
1326	10519	5335
1327	10526	5326
1328	10547	5325
1329	10553	5316
1330	10559	5307
1331	10567	5299
1332	10574	5291
